Key length: 1, Coincidences: 1

Key length: 2, Coincidences: 2

Key length: 3, Coincidences: 33

Key length: 4, Coincidences: 2

Key length: 5, Coincidences: 2

Key length: 6, Coincidences: 27

Key length: 7, Coincidences: 3

Key length: 8, Coincidences: 0

Key length: 9, Coincidences: 44

Key length: 10, Coincidences: 1

Key length: 11, Coincidences: 0

Key length: 12, Coincidences: 34

Key length: 13, Coincidences: 1

Key length: 14, Coincidences: 2

Key length: 15, Coincidences: 40

Key length: 16, Coincidences: 1

Key length: 17, Coincidences: 2

Key length: 18, Coincidences: 35

Key length: 19, Coincidences: 0

Key length: 20, Coincidences: 4

Key length: 21, Coincidences: 31

Key length: 22, Coincidences: 4

Key length: 23, Coincidences: 2

Key length: 24, Coincidences: 36

Key length: 25, Coincidences: 1

Key length: 26, Coincidences: 5

Key length: 27, Coincidences: 31

Key length: 28, Coincidences: 1

Key length: 29, Coincidences: 5

Key length: 30, Coincidences: 25

Key length: 31, Coincidences: 0

Key length: 32, Coincidences: 4

Key length: 33, Coincidences: 29

Key length: 34, Coincidences: 0

Key length: 35, Coincidences: 4

Key length: 36, Coincidences: 23

Key length: 37, Coincidences: 1

Key length: 38, Coincidences: 3

Key length: 39, Coincidences: 27

Key length: 40, Coincidences: 1

Key length: 41, Coincidences: 4

Key length: 42, Coincidences: 38

Key length: 43, Coincidences: 1

Key length: 44, Coincidences: 2

Key length: 45, Coincidences: 28

Key length: 46, Coincidences: 0

Key length: 47, Coincidences: 3

Key length: 48, Coincidences: 33

Key length: 49, Coincidences: 3

Key length: 50, Coincidences: 1

Key length: 51, Coincidences: 25

Key length: 52, Coincidences: 2

Key length: 53, Coincidences: 1

Key length: 54, Coincidences: 20

Key length: 55, Coincidences: 0

Key length: 56, Coincidences: 5

Key length: 57, Coincidences: 29

Key length: 58, Coincidences: 0

Key length: 59, Coincidences: 2

Key length: 60, Coincidences: 20

Key length: 61, Coincidences: 1

Key length: 62, Coincidences: 2

Key length: 63, Coincidences: 19

Key length: 64, Coincidences: 0

Key length: 65, Coincidences: 8

Key length: 66, Coincidences: 33

Key length: 67, Coincidences: 1

Key length: 68, Coincidences: 2

Key length: 69, Coincidences: 26

Key length: 70, Coincidences: 1

Key length: 71, Coincidences: 4

Key length: 72, Coincidences: 20

Key length: 73, Coincidences: 1

Key length: 74, Coincidences: 7

Key length: 75, Coincidences: 32

Key length: 76, Coincidences: 1

Key length: 77, Coincidences: 5

Key length: 78, Coincidences: 26

Key length: 79, Coincidences: 0

Key length: 80, Coincidences: 4

Key length: 81, Coincidences: 18

Key length: 82, Coincidences: 0

Key length: 83, Coincidences: 3

Key length: 84, Coincidences: 22

Key length: 85, Coincidences: 1

Key length: 86, Coincidences: 0

Key length: 87, Coincidences: 24

Key length: 88, Coincidences: 1

Key length: 89, Coincidences: 3

Key length: 90, Coincidences: 25

Key length: 91, Coincidences: 1

Key length: 92, Coincidences: 1

Key length: 93, Coincidences: 23

Key length: 94, Coincidences: 1

Key length: 95, Coincidences: 1

Key length: 96, Coincidences: 25

Key length: 97, Coincidences: 2

Key length: 98, Coincidences: 3

Key length: 99, Coincidences: 28

Key length: 100, Coincidences: 1

Key length: 101, Coincidences: 2

Key length: 102, Coincidences: 21

Key length: 103, Coincidences: 1

Key length: 104, Coincidences: 4

Key length: 105, Coincidences: 27

Key length: 106, Coincidences: 2

Key length: 107, Coincidences: 3

Key length: 108, Coincidences: 28

Key length: 109, Coincidences: 1

Key length: 110, Coincidences: 4

Key length: 111, Coincidences: 21

Key length: 112, Coincidences: 2

Key length: 113, Coincidences: 3

Key length: 114, Coincidences: 19

Key length: 115, Coincidences: 0

Key length: 116, Coincidences: 2

Key length: 117, Coincidences: 27

Key length: 118, Coincidences: 0

Key length: 119, Coincidences: 3

Key length: 120, Coincidences: 16

Key length: 121, Coincidences: 2

Key length: 122, Coincidences: 4

Key length: 123, Coincidences: 23

Key length: 124, Coincidences: 0

Key length: 125, Coincidences: 3

Key length: 126, Coincidences: 19

Key length: 127, Coincidences: 1

Key length: 128, Coincidences: 5

Key length: 129, Coincidences: 19

Key length: 130, Coincidences: 1

Key length: 131, Coincidences: 2

Key length: 132, Coincidences: 28

Key length: 133, Coincidences: 1

Key length: 134, Coincidences: 6

Key length: 135, Coincidences: 21

Key length: 136, Coincidences: 0

Key length: 137, Coincidences: 3

Key length: 138, Coincidences: 20

Key length: 139, Coincidences: 0

Key length: 140, Coincidences: 5

Key length: 141, Coincidences: 12

Key length: 142, Coincidences: 1

Key length: 143, Coincidences: 5

Key length: 144, Coincidences: 24

Key length: 145, Coincidences: 1

Key length: 146, Coincidences: 4

Key length: 147, Coincidences: 19

Key length: 148, Coincidences: 1

Key length: 149, Coincidences: 4

Key length: 150, Coincidences: 19

Key length: 151, Coincidences: 0

Key length: 152, Coincidences: 2

Key length: 153, Coincidences: 24

Key length: 154, Coincidences: 1

Key length: 155, Coincidences: 5

Key length: 156, Coincidences: 15

Key length: 157, Coincidences: 1

Key length: 158, Coincidences: 2

Key length: 159, Coincidences: 26

Key length: 160, Coincidences: 1

Key length: 161, Coincidences: 1

Key length: 162, Coincidences: 24

Key length: 163, Coincidences: 2

Key length: 164, Coincidences: 5

Key length: 165, Coincidences: 18

Key length: 166, Coincidences: 0

Key length: 167, Coincidences: 2

Key length: 168, Coincidences: 29

Key length: 169, Coincidences: 1

Key length: 170, Coincidences: 1

Key length: 171, Coincidences: 20

Key length: 172, Coincidences: 1

Key length: 173, Coincidences: 1

Key length: 174, Coincidences: 19

Key length: 175, Coincidences: 4

Key length: 176, Coincidences: 3

Key length: 177, Coincidences: 26

Key length: 178, Coincidences: 1

Key length: 179, Coincidences: 2

Key length: 180, Coincidences: 24

Key length: 181, Coincidences: 1

Key length: 182, Coincidences: 5

Key length: 183, Coincidences: 17

Key length: 184, Coincidences: 3

Key length: 185, Coincidences: 7

Key length: 186, Coincidences: 12

Key length: 187, Coincidences: 1

Key length: 188, Coincidences: 2

Key length: 189, Coincidences: 17

Key length: 190, Coincidences: 0

Key length: 191, Coincidences: 2

Key length: 192, Coincidences: 20

Key length: 193, Coincidences: 1

Key length: 194, Coincidences: 3

Key length: 195, Coincidences: 20

Key length: 196, Coincidences: 4

Key length: 197, Coincidences: 6

Key length: 198, Coincidences: 15

Key length: 199, Coincidences: 1

Key length: 200, Coincidences: 4

Key length: 201, Coincidences: 23

Key length: 202, Coincidences: 1

Key length: 203, Coincidences: 6

Key length: 204, Coincidences: 16

Key length: 205, Coincidences: 0

Key length: 206, Coincidences: 2

Key length: 207, Coincidences: 13

Key length: 208, Coincidences: 0

Key length: 209, Coincidences: 4

Key length: 210, Coincidences: 24

Key length: 211, Coincidences: 2

Key length: 212, Coincidences: 2

Key length: 213, Coincidences: 20

Key length: 214, Coincidences: 2

Key length: 215, Coincidences: 7

Key length: 216, Coincidences: 13

Key length: 217, Coincidences: 1

Key length: 218, Coincidences: 4

Key length: 219, Coincidences: 16

Key length: 220, Coincidences: 0

Key length: 221, Coincidences: 2

Key length: 222, Coincidences: 10

Key length: 223, Coincidences: 0

Key length: 224, Coincidences: 8

Key length: 225, Coincidences: 13

Key length: 226, Coincidences: 1

Key length: 227, Coincidences: 6

Key length: 228, Coincidences: 19

Key length: 229, Coincidences: 1

Key length: 230, Coincidences: 6

Key length: 231, Coincidences: 12

Key length: 232, Coincidences: 1

Key length: 233, Coincidences: 4

Key length: 234, Coincidences: 14

Key length: 235, Coincidences: 0

Key length: 236, Coincidences: 1

Key length: 237, Coincidences: 16

Key length: 238, Coincidences: 0

Key length: 239, Coincidences: 8

Key length: 240, Coincidences: 9

Key length: 241, Coincidences: 2

Key length: 242, Coincidences: 3

Key length: 243, Coincidences: 8

Key length: 244, Coincidences: 0

Key length: 245, Coincidences: 5

Key length: 246, Coincidences: 18

Key length: 247, Coincidences: 2

Key length: 248, Coincidences: 2

Key length: 249, Coincidences: 15

Key length: 250, Coincidences: 0

Key length: 251, Coincidences: 3

Key length: 252, Coincidences: 13

Key length: 253, Coincidences: 0

Key length: 254, Coincidences: 6

Key length: 255, Coincidences: 14

Key length: 256, Coincidences: 2

Key length: 257, Coincidences: 5

Key length: 258, Coincidences: 19

Key length: 259, Coincidences: 0

Key length: 260, Coincidences: 2

Key length: 261, Coincidences: 21

Key length: 262, Coincidences: 0

